# gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false "gmm-boost-silence --boost=1.00 1 ./exp/mono0a/14.mdl - |" "ark:gunzip -c ./exp/mono0a/fsts.1.gz|" "ark,s,cs:apply-cmvn  --utt2spk=ark:./data/train/split4/1/utt2spk scp:./data/train/split4/1/cmvn.scp scp:./data/train/split4/1/feats.scp ark:- | add-deltas  ark:- ark:- |" "ark,t:|gzip -c >./exp/mono0a/ali.1.gz" 
# Started at Fri Aug 13 02:09:26 +07 2021
#
gmm-align-compiled --transition-scale=1.0 --acoustic-scale=0.1 --self-loop-scale=0.1 --beam=10 --retry-beam=40 --careful=false 'gmm-boost-silence --boost=1.00 1 ./exp/mono0a/14.mdl - |' 'ark:gunzip -c ./exp/mono0a/fsts.1.gz|' 'ark,s,cs:apply-cmvn  --utt2spk=ark:./data/train/split4/1/utt2spk scp:./data/train/split4/1/cmvn.scp scp:./data/train/split4/1/feats.scp ark:- | add-deltas  ark:- ark:- |' 'ark,t:|gzip -c >./exp/mono0a/ali.1.gz' 
gmm-boost-silence --boost=1.00 1 ./exp/mono0a/14.mdl - 
LOG (gmm-boost-silence[5.5.929~1-9bca2]:main():gmm-boost-silence.cc:93) Boosted weights for 5 pdfs, by factor of 1
LOG (gmm-boost-silence[5.5.929~1-9bca2]:main():gmm-boost-silence.cc:103) Wrote model to -
add-deltas ark:- ark:- 
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00012
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00013
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00014
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00015
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00016
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00017
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00018
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00019
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00020
WARNING (gmm-align-compiled[5.5.929~1-9bca2]:AlignUtteranceWrapper():decoder-wrappers.cc:617) Retrying utterance 0/0/00020 with beam 40
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00021
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00022
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00023
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00024
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00025
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00026
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00027
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00028
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00029
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00030
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00031
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00032
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00033
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00034
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00035
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00036
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00037
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00038
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00039
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00040
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00041
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00042
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00043
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00044
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00045
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00046
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00047
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00048
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00049
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00050
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00051
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00052
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00053
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00054
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00055
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00056
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00057
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00058
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00059
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00060
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00061
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00062
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00063
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00064
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00065
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00066
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00067
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00068
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00069
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00070
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00071
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00072
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00073
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00074
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00075
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00076
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00077
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00078
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00079
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00080
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00081
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00082
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00083
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00084
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00085
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00086
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00087
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00088
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00089
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00090
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00091
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00092
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00093
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00094
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00095
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00096
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00097
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00098
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00099
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00100
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00101
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00102
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00103
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00104
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00105
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00106
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00107
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00108
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00109
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00110
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00111
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00112
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00113
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00114
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00115
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00116
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00117
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00118
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00119
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00120
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00121
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00122
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00123
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00124
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00125
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00126
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00127
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00128
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00129
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00130
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00131
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00132
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00133
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00134
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00135
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00136
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00137
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00138
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00139
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00140
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00141
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00142
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00143
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00144
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00145
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00146
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00147
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00148
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00149
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00150
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00151
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00152
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00153
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00154
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00155
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00156
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00157
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00158
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00159
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00160
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00161
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00162
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00163
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00164
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00165
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00166
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00167
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00168
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00169
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00170
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00171
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00172
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00173
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00174
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00175
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00176
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00177
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00178
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00179
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00180
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00181
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00182
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00183
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00184
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00185
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00186
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00187
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00188
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00189
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00190
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00191
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00192
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00193
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00194
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00195
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00196
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00197
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00198
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00199
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00200
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00201
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00202
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00203
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00204
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00205
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00206
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00207
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00208
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00209
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00210
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00211
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00212
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00213
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00214
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00215
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00216
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00217
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00218
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00219
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00220
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00221
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00222
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00223
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00224
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00225
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00226
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00227
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00228
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00229
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00230
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00231
LOG (gmm-align-compiled[5.5.929~1-9bca2]:main():gmm-align-compiled.cc:127) 0/0/00232
